batter,ACI,ACI_HUNT,ACI_2K,ACI_RISP,Pitches,ACI_20,ACI_40,ACI_80,player_name,batting_team
657041,0.278,0.23,0.373,0.298,773,0.25,0.29,0.304,lane thomas,KC
650402,0.278,0.214,0.412,0.221,863,0.354,0.349,0.304,gleyber torres,DET
696285,0.278,0.181,0.373,0.316,957,0.309,0.349,0.316,jacob young,WSH
683357,0.278,0.233,0.392,0.285,857,0.283,0.312,0.309,owen caissie,MIA
656775,0.278,0.237,0.337,0.322,1030,0.378,0.326,0.324,cedric mullins,TB
673962,0.278,0.242,0.384,0.291,1063,0.266,0.291,0.317,josh jung,TEX
665833,0.276,0.25,0.392,0.279,1228,0.383,0.336,0.325,oneil cruz,PIT
663968,0.276,0.249,0.231,0.282,638,0.385,0.343,0.292,jake mangum,PIT
687637,0.276,0.219,0.379,0.252,515,0.331,0.326,0.31,dylan beavers,BAL
660271,0.276,0.237,0.375,0.247,1288,0.222,0.295,0.307,shohei ohtani,LAD
643289,0.275,0.218,0.301,0.285,1060,0.321,0.294,0.296,mauricio dubón,ATL
663743,0.275,0.288,0.257,0.241,662,0.343,0.343,0.348,nick fortes,TB
669224,0.275,0.201,0.395,0.246,732,0.256,0.261,0.298,austin wells,NYY
681351,0.274,0.21,0.377,0.283,696,0.279,0.236,0.284,logan o'hoppe,LAA
664770,0.274,0.218,0.345,0.244,587,0.234,0.247,0.281,nathan lukes,TOR
676391,0.274,0.278,0.201,0.273,891,0.391,0.402,0.368,ernie clement,TOR
807713,0.274,0.199,0.292,0.285,541,0.278,0.282,0.314,matt shaw,CHC
669257,0.273,0.189,0.38,0.269,911,0.202,0.279,0.274,will smith,LAD
681198,0.273,0.274,0.318,0.294,1127,0.323,0.343,0.3,tj rumfield,COL
620443,0.273,0.225,0.323,0.31,538,0.347,0.323,0.308,luis torrens,NYM
805811,0.272,0.227,0.384,0.301,540,0.315,0.291,0.287,bryce eldridge,SF
667472,0.272,0.194,0.416,0.308,548,0.209,0.205,0.274,dane myers,CIN
805300,0.272,0.202,0.373,0.273,1197,0.33,0.355,0.3,jakob marsee,MIA
682985,0.271,0.225,0.382,0.255,1334,0.437,0.336,0.33,riley greene,DET
641598,0.271,0.219,0.391,0.333,516,0.234,0.297,0.282,mitch garver,SEA
671289,0.271,0.216,0.36,0.275,623,0.276,0.323,0.283,tyler freeman,COL
630105,0.271,0.186,0.358,0.294,550,0.338,0.31,0.3,jake cronenworth,SD
691016,0.271,0.229,0.38,0.261,1137,0.19,0.228,0.248,tyler soderstrom,ATH
680574,0.271,0.2,0.378,0.319,1127,0.364,0.304,0.321,matt mclain,CIN
671056,0.27,0.241,0.324,0.287,1272,0.348,0.289,0.286,iván herrera,STL
665926,0.27,0.259,0.255,0.288,925,0.262,0.279,0.306,andrés giménez,TOR
672724,0.27,0.248,0.322,0.244,877,0.233,0.311,0.309,oswald peraza,LAA
687462,0.27,0.219,0.352,0.283,1140,0.329,0.308,0.275,spencer horwitz,PIT
691720,0.27,0.188,0.383,0.291,1066,0.358,0.357,0.348,kyle karros,COL
686527,0.27,0.212,0.352,0.255,726,0.29,0.279,0.275,dominic canzone,SEA
807712,0.27,0.218,0.372,0.289,1076,0.409,0.389,0.349,luke keaschall,MIN
686948,0.269,0.249,0.311,0.241,900,0.426,0.337,0.313,drake baldwin,ATL
663993,0.269,0.189,0.363,0.261,796,0.34,0.364,0.333,nathaniel lowe,CIN
808975,0.269,0.206,0.33,0.217,588,0.227,0.28,0.284,hyeseong kim,LAD
650490,0.268,0.209,0.363,0.241,1155,0.371,0.395,0.325,yandy díaz,TB
695734,0.268,0.256,0.338,0.262,1170,0.414,0.334,0.307,daylen lile,WSH
664023,0.268,0.206,0.377,0.267,1339,0.266,0.313,0.323,ian happ,CHC
663757,0.268,0.215,0.433,0.254,1124,0.369,0.323,0.271,trent grisham,NYY
664056,0.268,0.26,0.292,0.333,437,0.289,0.343,0.302,harrison bader,SF
624585,0.267,0.202,0.392,0.277,1066,0.185,0.219,0.279,jorge soler,LAA
502671,0.267,0.237,0.325,0.292,722,0.261,0.304,0.31,paul goldschmidt,NYY
677587,0.267,0.242,0.275,0.279,1059,0.308,0.368,0.368,brayan rocchio,CLE
686681,0.267,0.224,0.332,0.258,611,0.297,0.313,0.298,michael massey,KC
650333,0.267,0.239,0.23,0.279,1136,0.359,0.326,0.314,luis arráez,SF
682829,0.266,0.228,0.376,0.304,1119,0.281,0.291,0.283,elly de la cruz,CIN
691777,0.266,0.234,0.318,0.268,537,0.337,0.32,0.356,max muncy,ATH
680700,0.266,0.23,0.314,0.296,691,0.378,0.335,0.318,richie palacios,TB
691723,0.266,0.198,0.352,0.221,860,0.312,0.261,0.282,coby mayo,BAL
661388,0.266,0.214,0.381,0.295,1045,0.318,0.273,0.302,william contreras,MIL
687231,0.266,0.209,0.329,0.248,564,0.329,0.334,0.311,darell hernaiz,ATH
669003,0.265,0.228,0.391,0.287,977,0.254,0.244,0.284,garrett mitchell,MIL
500743,0.265,0.197,0.368,0.232,483,0.287,0.304,0.304,miguel rojas,LAD
668901,0.265,0.22,0.335,0.229,785,0.24,0.258,0.267,mark vientos,NYM
804606,0.265,0.223,0.322,0.23,846,0.187,0.266,0.264,konnor griffin,PIT
670042,0.264,0.235,0.369,0.296,885,0.405,0.314,0.291,luke raley,SEA
666152,0.264,0.213,0.327,0.251,840,0.42,0.356,0.355,david hamilton,MIL
680777,0.264,0.173,0.435,0.267,690,0.288,0.264,0.266,ryan jeffers,MIN
687551,0.264,0.22,0.376,0.27,656,0.223,0.271,0.288,drew gilbert,SF
680728,0.264,0.176,0.397,0.3,569,0.254,0.261,0.253,adrian del castillo,AZ
681297,0.264,0.207,0.367,0.204,812,0.236,0.28,0.275,colton cowser,BAL
660844,0.263,0.172,0.427,0.296,630,0.222,0.232,0.268,leo rivas,SEA
668885,0.263,0.206,0.408,0.265,987,0.386,0.393,0.351,austin martin,MIN
699912,0.263,0.194,0.309,0.282,688,0.4,0.323,0.312,jose fernandez,AZ
702284,0.262,0.214,0.335,0.274,1204,0.356,0.397,0.317,cole young,SEA
663647,0.262,0.206,0.372,0.198,484,0.236,0.25,0.275,ke'bryan hayes,CIN
624641,0.262,0.261,0.212,0.373,492,0.348,0.381,0.307,edmundo sosa,PHI
669701,0.262,0.191,0.369,0.194,515,0.308,0.293,0.308,josh smith,TEX
641487,0.262,0.168,0.421,0.235,978,0.229,0.261,0.297,j. p. crawford,SEA
676439,0.261,0.195,0.346,0.287,444,0.326,0.338,0.281,hunter feduccia,TB
694192,0.261,0.181,0.407,0.269,689,0.316,0.263,0.258,jackson chourio,MIL
701762,0.261,0.199,0.399,0.247,1479,0.303,0.284,0.297,nick kurtz,ATH
670770,0.261,0.222,0.368,0.26,717,0.242,0.266,0.275,tj friedl,CIN
571970,0.26,0.196,0.332,0.268,1127,0.24,0.254,0.246,max muncy,LAD
